name,city,location
"Coventry Kitchens, Inc.",Malvern,"[40.036598,-75.563778]"
"Lakefront Brewery",Milwaukee,"[43.05487205,-87.90517087]"
"Central Standard Brewing",Wichita,"[37.6847,-97.3184]"
in.gredients,Austin,"[30.285122,-97.714821]"
"Bj's Restaurant and Brewhouse - Mesa",Mesa,"[33.3848762,-111.6908199]"
"Red Cypress Brewery LLC","Winter Springs","[28.7049,-81.281]"
"Court Avenue Restaurant & Brewing Company","Des Moines","[41.58541709,-93.62106538]"
"Three Four Beer","Fort Collins","[40.57601,-105.096046]"
"The Phoenix Ale Brewery",Phoenix,"[33.44864,-112.016716]"
"Total Wine & More",Lynnwood,"[47.831968,-122.269871]"
"Seven Bridges Grille & Brewery",Jacksonville,"[30.261524,-81.553796]"
"Altamont Brewery",Asheville,"[35.58159263,-82.60428517]"
"Red Brick Station Restaurant & Brew Pub",Nottingham,"[39.372063,-76.46448]"
"Amplified Ale Works","San Diego","[32.7912903,-117.2544098]"
"Total Wine & More",Bellevue,"[47.618561,-122.179574]"
"Big Beaver Brewing Co",Loveland,"[40.4077239,-105.1144095]"
"Portsmouth Brewery",Portsmouth,"[43.078007,-70.757599]"
"Lagerhead's Smokehouse",Medina,"[41.19722,-81.88717]"
"Epidemic Ales",Concord,"[38.009935,-122.038984]"
"Big Bear Brewing Co.","Pompano Beach","[26.2538,-80.2541]"
"Torn Label Brewing Company","Kansas City","[39.092512,-94.573292]"
"Hopping Gnome Brewing Company",Wichita,"[37.68624845,-97.31676826]"
"Sin City Brewing Company","Las Vegas","[36.1087032,-115.1724238]"
"American Fresh Brewhouse Beer Garden",Somerville,"[42.39387423,-71.08039825]"
BevMo!,"San Jose","[37.307797,-121.900794]"
"Flagstaff Brewing Company",Flagstaff,"[35.19755788,-111.6484685]"
"The Bronx Brewery",Bronx,"[40.801727,-73.910149]"
"Ale Asylum",Madison,"[43.120481,-89.354343]"
"Greenpoint Beer and Ale Company",Brooklyn,"[40.72495778,-73.95725727]"
"Goose Island Brewery Restaurant",Chicago,"[41.97683224,-87.89725542]"
"BJ's Restaurant and Brewhouse",Broomfield,"[39.888157,-105.074265]"
"Tommyknocker Brewery & Pub","Idaho Springs","[39.7418,-105.5178]"
"Iron Springs Pub & Brewery",Fairfax,"[37.98617,-122.58404]"
"Bastone Brewery","Royal Oak","[42.4866,-83.144]"
"Center of the Universe Brewing Company",Ashland,"[37.70885566,-77.4469105]"
"Cask & Larder","Winter Park","[28.5934,-81.3561]"
"Harmonic Brewing","San Francisco","[37.7516236,-122.3900315]"
"BJ's Restaurant and Brewhouse",Allen,"[33.12741173,-96.66023355]"
"Wing Nutz",Orem,"[40.2779,-111.6773]"
"Pacific Coast Brewing-oakland",Oakland,"[37.801439,-122.27432]"
"Fire Station 1 Restaurant & Brewing Co.","Silver Spring","[38.99161405,-77.02628521]"
"Hop Valley Brewing Co.",Eugene,"[44.05819,-123.10751]"
"10 Barrel Brewing",Boise,"[43.617672,-116.202835]"
"512 Brewing Company",Austin,"[30.2234,-97.76974]"
"Dangerous Man Brewing Co",Minneapolis,"[45.00100202,-93.26619963]"
Fuddruckers,Fairfield,"[38.258827,-122.05986]"
"Bonfire Brewing",Eagle,"[39.65533268,-106.8287319]"
"Mugshots Burger N' Brew",Bellevue,"[47.6226,-122.1323]"
"Bloodhound Brew",Orlando,"[28.49397,-81.45925]"
Kroger,Mesquite,"[32.81378817,-96.63404703]"
"Napa Smith Brewery & Winery",Napa,"[38.2243,-122.2568]"
"Bugnutty Brewing Company","Merritt Island","[28.36932,-80.70044]"
"Southern Brewing",Tampa,"[27.98616652,-82.45157221]"
"Chuck's Cafe",Syracuse,"[43.04206,-76.13652]"
"Strangeways Brewing",Richmond,"[37.5864,-77.4832]"
"Carolina Brewing Company","Holly Springs","[35.655663,-78.85283]"
"Funky Buddha Brewery And Lounge","Boca Raton","[26.37512163,-80.07667454]"
"BJ's Restaurant and Brewhouse","Chino Hills","[33.9808,-117.7018]"
"Fiction Beer Company",Denver,"[39.74032636,-104.9056578]"
"White Flame Brewing",Hudsonville,"[42.864382,-85.870885]"
"Hifi Homebrew and Bbq Supply",Clearwater,"[27.981428,-82.754754]"
"Falling Sky Brewing",Eugene,"[44.0451,-123.0921]"
"Irish Bred Pub",Opelika,"[32.647247,-85.38011]"
"TwoDEEP Brewing Co.",Indianapolis,"[39.777147,-86.161506]"
"Redhook Brewery",Portsmouth,"[43.08790761,-70.80425765]"
"Rock Bottom Restaurant & Brwry",Cincinnati,"[39.103198,-84.506489]"
"Total Wine & More",Olympia,"[47.040651,-122.930972]"
"Total Wine & More",Stuart,"[27.235792,-80.270372]"
"Wanderlust Brewing Company",Flagstaff,"[35.20238,-111.618256]"
"Old Ivy Brewery and Taproom",Vancouver,"[45.62901,-122.67225]"
"Porch Swing Pub",Houston,"[29.770039,-95.397675]"
"Sketchbook Brewing Co.",Evanston,"[42.03292054,-87.67903358]"
"Total Wine & More",Chesapeake,"[36.7782,-76.2326]"
"Widmer Brothers Brewing Company",Portland,"[45.54106084,-122.6769239]"
"Fenton Winery & Brewery",Fenton,"[42.852455,-83.70322]"
"Tenacity Brewing",Flint,"[43.01534,-83.69711]"
"The Answer Brewpub Co",Richmond,"[37.59358,-77.50793]"
"Total Wine & More",Columbia,"[34.0742,-81.1601]"
"Total Wine & More","Altamonte Springs","[28.661719,-81.385296]"
"The Rams Head",Portland,"[45.52691,-122.69844]"
"Copperpoint Brewing Company","Boynton Beach","[26.559551,-80.07302]"
"New England Brewing Company",Woodbridge,"[41.33920684,-72.97987027]"
"Milwaukee Brewing Company",Milwaukee,"[43.024912,-87.91285499]"
"Sbc Restaurant & Brewery",Southport,"[41.13948,-73.277596]"
"Deep Ellum Brewing Co",Dallas,"[32.780614,-96.781678]"
"Elephant & Castle",Chicago,"[41.879234,-87.63126]"
"Verboten Brewing",Loveland,"[40.3966,-105.0755]"
"Triple Voodoo Brewery & Tap Room","San Francisco","[37.76119,-122.388537]"
"The Dew Drop Inn DC",Washington,"[38.92601596,-76.99492133]"
"Triple Rock Brewery-Ale House",Berkeley,"[37.873527,-122.268766]"
"BJ's Restaurant and Brewhouse",Glendale,"[34.146404,-118.255104]"
"Three Notch'd Brewing Company",Charlottesville,"[38.03767,-78.49114]"
"Chatty Monks Brewing Company",Reading,"[40.335606,-75.95019]"
"Prairie Street Brewhouse",Rockford,"[42.27329,-89.08717]"
"Justice Brewing",Everett,"[47.98507,-122.18844]"
"Twin Peaks",Phoenix,"[33.5091,-112.0359367]"
"Courtyard Brewery","New Orleans","[29.939,-90.0701]"
"BJ's Restaurant and Brewhouse","San Antonio","[29.607653,-98.6011]"
"Water Street Brewery",Grafton,"[43.318462,-87.918816]"
"Gillette Brewing Company",Gillette,"[44.292183,-105.50401]"
"Red Clay Ciderworks",Charlotte,"[35.19456,-80.87482]"
"BJ's Restaurant and Brewhouse",Valencia,"[34.41742048,-118.5616153]"
"Aardwolf Brewing Company",Jacksonville,"[30.31072728,-81.65454165]"
